condition,frame_number,time_relative,channel_freq,frame_kind,type,subtype,type_subtype,transmitter,receiver,source,destination,bssid,ssid,rsn_version,rsn_akm,pairwise_cipher,group_cipher,group_management_cipher,rsn_capabilities,auth_algorithm,auth_sequence,status_code,sae_message_type,sae_group_id,sae_scalar_present,sae_element_present,eapol_message,nonce_present,nonce_role,replay_counter,key_ack,key_mic,key_install,key_secure,encrypted_key_data_present,protected_flag,wireshark_protocol,wireshark_info,interpretation
WPA3-SAE-H2E,1,0.000000000,5220,Beacon,0,8,0x0008,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,ff:ff:ff:ff:ff:ff,4a:91:20:2b:8a:fe,iPhone_Lab,1,PSK;SAE,CCMP,CCMP,BIP-CMAC-128,0x00bc,,,,,,no,yes,,no,,,,,,,no,False,,,"AP advertises RSN security capabilities, AKM and cipher suites."
WPA3-SAE-H2E,181,11.719656894,5220,Authentication,0,11,0x000b,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,4a:91:20:2b:8a:fe,,,,,,,,SAE,1,0x007e,SAE Commit,19,yes,yes,,no,,,,,,,no,False,,,SAE authentication occurs before Association and before EAPOL.
WPA3-SAE-H2E,186,11.833549337,5220,Authentication,0,11,0x000b,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,4a:91:20:2b:8a:fe,,,,,,,,SAE,2,0x0000,SAE Confirm,,no,no,,no,,,,,,,no,False,,,SAE authentication occurs before Association and before EAPOL.
WPA3-SAE-H2E,1809,31.112555524,5220,Association Request,0,0,0x0000,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,4a:91:20:2b:8a:fe,iPhone_Lab,1,SAE,CCMP,CCMP,BIP-CMAC-128,0x00fc,,,,,,no,yes,,no,,,,,,,no,False,,,Client requests association and selects SAE/CCMP parameters.
WPA3-SAE-H2E,1811,31.125861976,5220,Association Response,0,1,0x0001,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,,,,,,,,,,0x0000,,,no,yes,,no,,,,,,,no,False,,,AP accepts the association request.
WPA3-SAE-H2E,1813,31.125882926,5220,EAPOL,2,8,0x0028,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,,,,,,,,,,,,,no,no,Message 1 of 4,yes,ANonce,1,True,False,False,False,yes,False,,,EAPOL 4-Way Handshake message after SAE authentication.
WPA3-SAE-H2E,1815,31.127668315,5220,EAPOL,2,8,0x0028,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,4a:91:20:2b:8a:fe,,1,SAE,CCMP,CCMP,BIP-CMAC-128,0x00fc,,,,,,no,yes,Message 2 of 4,yes,SNonce,1,False,True,False,False,yes,False,,,EAPOL 4-Way Handshake message after SAE authentication.
WPA3-SAE-H2E,1818,31.134020110,5220,EAPOL,2,8,0x0028,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,,,,,,,,,,,,,no,no,Message 3 of 4,yes,,3,True,True,True,True,yes,False,,,EAPOL 4-Way Handshake message after SAE authentication.
WPA3-SAE-H2E,1820,31.136795114,5220,EAPOL,2,8,0x0028,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,4a:91:20:2b:8a:fe,,,,,,,,,,,,,no,no,Message 4 of 4,yes,,3,False,True,False,True,no,False,,,EAPOL 4-Way Handshake message after SAE authentication.
WPA3-SAE-H2E,1822,31.136808645,5220,Protected Frame,0,13,0x000d,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,e8:bf:b8:96:c3:55,4a:91:20:2b:8a:fe,4a:91:20:2b:8a:fe,,,,,,,,,,,,,no,no,,no,,,,,,,no,True,,,Protected frame after key establishment.
